StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PB-9_spleen,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20190821.B-PB-9_spleenAligned.sortedByCoord.out.bam,0.0,0.0,0.0,0.0,0.0,0.0
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-2_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-2_muscleAligned.sortedByCoord.out.bam,0.00339238557854,0.0542433790235,0.0101770488467,0.0128336197333,0.00413407906317,0.0234549588778
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-11_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-11_muscleAligned.sortedByCoord.out.bam,0.006379491239,0.0596198328694,0.0133603494023,0.0140272847795,0.00599315581606,0.0387973305661
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-7_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-7_muscleAligned.sortedByCoord.out.bam,0.00692518005468,0.0485673385774,0.0115361335675,0.015583362011,0.00429370791404,0.0299718080056
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-14_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-14_muscleAligned.sortedByCoord.out.bam,0.0052490813741,0.0512099671569,0.0111425329888,0.0137087193229,0.00402903930076,0.0290372697641
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-16_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-16_muscleAligned.sortedByCoord.out.bam,0.00584032929074,0.0485529469237,0.0108268175064,0.0131267842167,0.00471625656752,0.0293735089502
RefSeqThenMMSites,Editing_Index_Unknown,20180518.A-PB-9_muscle,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180518.A-PB-9_muscleAligned.sortedByCoord.out.bam,0.00453399612717,0.0460913650444,0.0103986964972,0.0146106927735,0.0049543416969,0.0282578529078
RefSeqThenMMSites,Editing_Index_Unknown,20180508.A-PB-9_blood,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180508.A-PB-9_bloodAligned.sortedByCoord.out.bam,0.00355205847533,0.0355713327585,0.00860163606223,0.0133716366092,0.0038087969449,0.0238332101797
RefSeqThenMMSites,Editing_Index_Unknown,20180508.A-PB-14_blood,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180508.A-PB-14_bloodAligned.sortedByCoord.out.bam,0.00297976260331,0.0294866528965,0.00787554484344,0.0121203806269,0.00324046217211,0.0220273807246
RefSeqThenMMSites,Editing_Index_Unknown,20180508.A-PB-7_blood,/home/ubuntu/Bulk_RNAseq/aei/4wpi/bam/20180508.A-PB-7_bloodAligned.sortedByCoord.out.bam,0.00364742848681,0.0321739052181,0.00800910288768,0.0132844368668,0.00359732713116,0.0239560266789
