StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBH-12_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190828.B-PBH-12_bloodAligned.sortedByCoord.out.bam,0.01212149179,0.0689541635712,0.0140195685769,0.0185696973024,0.0101605176556,0.0606813096164
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-12_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-12_muscleAligned.sortedByCoord.out.bam,0.00649212708422,0.0655403230622,0.0101471431423,0.0135721714402,0.00569702357254,0.0374832543907
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-7_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-7_muscleAligned.sortedByCoord.out.bam,0.00661756503896,0.0661932041499,0.0102571975172,0.013423352257,0.00577869544118,0.0370810546209
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-10_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-10_muscleAligned.sortedByCoord.out.bam,0.00655572701326,0.0586153813422,0.00947209948447,0.0130743877892,0.00532265075682,0.0368627178429
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-10_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-10_bloodAligned.sortedByCoord.out.bam,0.0088761069022,0.0576974039358,0.0121822176939,0.0146580818261,0.00713953282437,0.0497144913072
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-8_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-8_muscleAligned.sortedByCoord.out.bam,0.00595478117772,0.0695122397858,0.0091443911483,0.0122457914903,0.00469182304733,0.0343977674046
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-11_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-11_muscleAligned.sortedByCoord.out.bam,0.00602016718681,0.0576368415117,0.00891330990002,0.0125970633475,0.00475748211801,0.0360060755851
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBH-11_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190828.B-PBH-11_bloodAligned.sortedByCoord.out.bam,0.00781818518447,0.0529811962462,0.0102235822726,0.0144128602228,0.00633282731229,0.0420344398801
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBH-8_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190828.B-PBH-8_bloodAligned.sortedByCoord.out.bam,0.0082223202689,0.0509855411607,0.0113446380143,0.0145125160047,0.00673946658509,0.0424601589396
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-7_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-7_bloodAligned.sortedByCoord.out.bam,0.00764657383424,0.042835468068,0.0107472743947,0.0130147349151,0.00611859085078,0.0403009424838
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBH-9_blood,/mnt/vol3/BulkRnaSeq/PBH/bam/20190828.B-PBH-9_bloodAligned.sortedByCoord.out.bam,0.00913157610555,0.085267084025,0.0120673803381,0.0155949385668,0.00711390173992,0.0444500521092
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBH-9_muscle,/mnt/vol3/BulkRnaSeq/PBH/bam/20190821.B-PBH-9_muscleAligned.sortedByCoord.out.bam,0.00601489911727,0.0552671018277,0.00949737794084,0.0132063412192,0.00484771236749,0.036806692027
